Bar Code Number,Computer Type,Date Eraced,Problems with Computer
1000,Surface Pro 6,05-20-2024 ATO
1140,Surface Pro 6,05-17-2024 ATO
986,Surface Pro 6,05-17-2024 ATO
921,Surface Pro 6,05-17-2024 ATO
1042,Surface Pro 6,05-17-2024 ATO
1176,Surface Pro 6,05-17-2024 ATO
1100,Surface Pro 6,05-17-2024 ATO
1126,Surface Pro 6,05-20-2024 ATO
1177,Surface Pro 6,05-20-2024 ATO
999,Surface Pro 6,05-20-2024 ATO
945,Surface Pro 6
998,Surface Pro 6,05-13-2024 ATO
1133,Surface Pro 6,05-13-2024 ATO
927,Surface Pro 6,05-10-2024 ATO
1015,Surface Pro 6,05-10-2024 ATO
919,Surface Pro 6,05-13-2024 ATO
1087,Surface Pro 6,05-13-2024 ATO
957,Surface Pro 6,05-10-2024 ATO
912,Surface Pro 6,05-10-2024 ATO
892,Surface Pro 6,05-10-2024 ATO
890,Surface Pro 6,05-13-2024 ATO
897,Surface Pro 6,05-13-2024 ATO
877,Surface Pro 6,05-13-2024 ATO
825,Surface Pro 6,05-13-2024 ATO
915,Surface Pro 6,05-13-2024 ATO
920,Surface Pro 6
1327,Surface Pro 6,05-13-2024 ATO
948,Surface Pro 6,05-13-2024 ATO
1359,Surface Pro 6,05-13-2024 ATO
1499,Surface Pro 6,05-13-2024 ATO
954,Surface Pro 6,05-13-2024 ATO
1413,Surface Pro 6,xxx,screen wont turn on
1312,Surface Pro 6,05-13-2024 ATO
1471,Surface Pro 6,xxx,screen broken
1050,Surface Pro 6,05-13-2024 ATO
1405,Surface Pro 6,05-13-2024 ATO
990,Surface Pro 6,05-15-2024 ATO
1306,Surface Pro 6,05-15-2024 ATO
1320,Surface Pro 6,05-15-2024 ATO
1303,Surface Pro 6,05-13-2024 ATO
1474,Surface Pro 6,05-13-2024 ATO
1475,Surface Pro 6,05-13-2024 ATO
1435,Surface Pro 6,05-13-2024 ATO
1415,Surface Pro 6,05-13-2024 ATO
1478,Surface Pro 6,05-15-2024 ATO
1433,Surface Pro 6,05-13-2024 ATO
1371,Surface Pro 6,05-13-2024 ATO
1351,Surface Pro 6,05-13-2024 ATO
1339,Surface Pro 6,05-13-2024 ATO
1160,Surface Pro 6,05-13-2024 ATO
1074,Surface Pro 6,05-13-2024 ATO
1493,Surface Pro 6,05-13-2024 ATO
1007,Surface Pro 6,05-13-2024 ATO
1211,Surface Pro 6,05-13-2024 ATO
1481,Surface Pro 6,05-13-2024 ATO
1208,Surface Pro 6,05-13-2024 ATO
1483,Surface Pro 6,05-13-2024 ATO
1400,Surface Pro 6,05-13-2024 ATO
1318,Surface Pro 6,xxx,screen completely shattered
1423,Surface Pro 6,05-13-2024 ATO
1407,Surface Pro 6,05-13-2024 ATO
1473,Surface Pro 6,05-13-2024 ATO
1205,Surface Pro 6,05-13-2024 ATO
1385,Surface Pro 6,05-13-2024 ATO
1409,Surface Pro 6,05-13-2024 ATO
1319,Surface Pro 6,xxx,screen broken
1041,Surface Pro 6,05-13-2024 ATO
1156,Surface Pro 6
1058,Surface Pro 6,05-13-2024 ATO
1195,Surface Pro 6,05-13-2024 ATO
1053,Surface Pro 6,05-13-2024 ATO
1165,Surface Pro 6,05-13-2024 ATO
1163,Surface Pro 6,05-13-2024 ATO
1179,Surface Pro 6,05-13-2024 ATO
1190,Surface Pro 6,05-20-2024 ATO
1076,Surface Pro 6,05-20-2024 ATO
1191,Surface Pro 6,05-20-2024 ATO
1013,Surface Pro 6,xxx,wont turn on
1188,Surface Pro 6,05-14-2024 ATO
1170,Surface Pro 6,05-14-2024 ATO
885,Surface Pro 6,05-13-2024 ATO
980,Surface Pro 6,05-13-2024 ATO
1153,Surface Pro 6
1046,Surface Pro 6,05-13-2024 ATO
1141,Surface Pro 6,05-13-2024 ATO
1166,Surface Pro 6,05-13-2024 ATO
1091,Surface Pro 6,05-17-2024 ATO
1102,Surface Pro 6,05-17-2024 ATO
1175,Surface Pro 6,05-17-2024 ATO
1139,Surface Pro 6,05-17-2024 ATO
1197,Surface Pro 6,05-17-2024 ATO
1169,Surface Pro 6,05-14-2024 ATO
1137,Surface Pro 6,05-14-2024 ATO
1049,Surface Pro 6,05-14-2024 ATO
1105,Surface Pro 6,05-14-2024 ATO
1094,Surface Pro 6,05-14-2024 ATO
1107,Surface Pro 6,05-14-2024 ATO
1209,Surface Pro 6,05-14-2024 ATO
1023,Surface Pro 6,05-14-2024 ATO
1093,Surface Pro 6,05-14-2024 ATO
1152,Surface Pro 6,xxx,something clogged in the usb port
1020,Surface Pro 6,05-14-2024 ATO
1110,Surface Pro 6,05-15-2024 ATO
1035,Surface Pro 6,05-15-2024 ATO
1336,Surface Pro 6,05-15-2024 ATO
1115,Surface Pro 6,05-15-2024 ATO
1054,Surface Pro 6,05-15-2024 ATO
1099,Surface Pro 6,05-15-2024 ATO
824,Surface Pro 6,05-15-2024 ATO
951,Surface Pro 6,05-20-2024 ATO
1167,Surface Pro 6,05-15-2024 ATO
989,Surface Pro 6,05-15-2024 ATO
1045,Surface Pro 6,05-15-2024 ATO
1075,Surface Pro 6,05-15-2024 ATO
1349,Surface Pro 6,05-15-2024 ATO
1032,Surface Pro 6,05-15-2024 ATO
1154,Surface Pro 6,05-15-2024 ATO
1174,Surface Pro 6,05-15-2024 ATO
1144,Surface Pro 6,05-15-2024 ATO
1084,Surface Pro 6,05-15-2024 ATO
1086,Surface Pro 6,05-15-2024 ATO
879,Surface Pro 6,05-15-2024 ATO
1080,Surface Pro 6,05-15-2024 ATO
1019,Surface Pro 6,05-15-2024 ATO
1203,Surface Pro 6,xxx,wont turn on
1142,Surface Pro 6,05-15-2024 ATO
1063,Surface Pro 6,05-15-2024 ATO
1090,Surface Pro 6,05-15-2024 ATO
1095,Surface Pro 6,05-15-2024 ATO
888,Surface Pro 6,05-13-2024 ATO
1118,Surface Pro 6,05-15-2024 ATO
1127,Surface Pro 6,05-15-2024 ATO
